Core_id,Ranking,University,Country,City,Region,Score,logo
410,1,Massachusetts Institute of Technology (MIT) ,United States,Cambridge,North America,100.0,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
95,2,University of Cambridge,United Kingdom,Cambridge,Europe,98.8,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg
573,3,Stanford University,United States,Stanford,North America,98.5,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg
478,4,University of Oxford,United Kingdom,Oxford,Europe,98.4,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg
253,5,Harvard University,United States,Cambridge,North America,97.6,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg
94,6,California Institute of Technology (Caltech),United States,Pasadena,North America,97.0,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg
356,6,Imperial College London,United Kingdom,London,Europe,97.0,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg
365,8,UCL,United Kingdom,London,Europe,95.0,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg
201,9,ETH Zurich,Switzerland,Zürich,Europe,93.6,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg
120,10,University of Chicago,United States,Chicago,North America,93.2,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg
443,11,National University of Singapore (NUS),Singapore,Singapore,Asia,92.7,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg
50,12,Peking University,China (Mainland),Beijing,Asia,91.3,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg
495,13,University of Pennsylvania,United States,Philadelphia,North America,90.6,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg
626,14,Tsinghua University,China (Mainland),Beijing,Asia,90.1,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg
180,15,The University of Edinburgh,United Kingdom,Edinburgh,Europe,89.5,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg
177,16,EPFL,Switzerland,Lausanne,Europe,89.2,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg
